,description,work
1190,"Clement, Patrick, ed. 7786  Burroughs, Wm. Victor Bockris. 1st ed. Lawrence, Kansas: Small Town Publishing, 2015. Hardbound.     William Burroughs covered [from] the last remaining archive of Lawrence-  https://www.kickstarter.com/projects/patrickclement/7786-burroughs-wm/description      [sic; i.e., six of seven] portraits but would only alForeword.    Title comprises, in various combinations depending upon purchase price: a. 750 hardbound books in two variant bindings: one black (numbered), one white (unnumbered). b. Set of seven Burroughs photo portrait postcards in black envelope. c. Set of seven assorted photo portrait postcards in grey envelope. d. s. e.  f. s photo portrait in white envelope. g.  h. 8chemical print of Burroughs photo portrait. i. chemical print of Burroughs portrait portrait. j. 1/6th plate tintype photograph of Burroughs in antique tintype case. k. 2 l. Staplebound, photocopied booklet of various photo portraits taken by Bob Blank at Hixon Studio in Lawrence, KS. m. Handmade (by Erin Mickelson of Broken Cloud Press) debossed archival box.",H19
1191,"Davis, Stephen. William Burroughs: Local Stop on the Nova Express. Providence, Rhode Island: Inkblot Publications; distributed by Aftermath Books, 2013. Softbound (no hardbound issued).  Local Stop on the Nova Expresspublished in the November 6th, 1974 edition of The Real Paper, and simultaneously in The Free Paper, a give-[both Boston; see Section C above]",H20
1192,"Finlayson, Iain. Tangier: City of the Dream.   A description of life in Tangier, Morocco, featuring Burroughs, Paul Bowles, David Herbert,  and Joe Orton. A. London: Harper Collins, 1992. Hardbound. B. London: Flamingo, 1993, ©1992. Softbound.",H21
1193,"García-Robles, Jorge. La Bala Perdida: William S. Burroughs en México (19491952). With the collaboration of James Grauerholz.  A. . 1st ed. Mexico City: Ediciones del Milenio, 1995. Softbound. B. The Stray Bullet: William S. Burroughs in Mexico. Minneapolis: University of Minnesota Press, 2013. Hardbound (issued without dustjacket).  Translated by Daniel C. Schechter.",H22
1194,". Burroughs y Kerouac: Dos Forasteros Perdidos en México. (Contemporanea) Mexico City: Random House Mondadori, 2007.    147",H23
1195,"Gifford, Barry. The Strangest One of All. (Synaesthesia Press Chapbook Series, No. 8) San Francisco: Synaesthesia Press, [1998?] Softbound, saddle-stitched into cardstock Jackets with window cut out in front.   Limited to 176 copies, of which 100 are numbered; 50 are numbered and signed by Gifford; and 26 are lettered and signed by Gifford and Childish (the cover illustrator), in a manila envelope containing three woodcuts created by Childish for the book.  appeared in Speak magazine, [No. 7] Fall 1997.T.p. verso.   A short narrative about a visit to the Bunker taken by Gifford, his son, and baseball player Jimbo Carothers, and their meeting and conversation there with Burroughs.",H24
1196,"Heil, Axel and Ian MacFadyen. William S. Burroughs/Cut. (The Future of the Past; Vol. 2) Cologne: Walther König, 2013. Paperback.",H25
1197,"Johnson, Rob. The Lost Years of William S. Burroughs: Beats in South Texas. 1st ed. (Tarleton State University Southwestern Studies in the Humanities; No. 21) College Station, Tex.: Texas A&M University Press, 2006. Hardbound (issued without dustjacket), and softbound.",H26
1198,"Lemaire, Gérard-Georges. Burroughs. (Les Plumes du Temps; 22) Paris: Editions Artefact, 1986. Softbound.",H27
1199,"Mahoney, Dennis, Richard L. Martin, and Ron Whitehead, eds. A Burroughs Compendium: Calling the Toads. Watch Hill, R.I.: Ring Tarigh, 1998. Softbound (no hardbound issued).",H28
