description,work
"Concrete and Buckshot: William S. Burroughs, Paintings 19871996.  A. Texts by Timothy Leary and Benjamin Weissman. (Smart Art Press; Vol. 2, No. 18) Santa Monica, Calif.: Smart Art Press, 1996. Softbound.   Los Angeles, 18 July 31 August 1996.  B. [Promotional Postcard]  Postcard for one-man exhibition at Track 16 Gallery in Los Angeles, 18 July31 August 1996.  Reproduction of Burroughs painting Burning Bullets (detail) on recto.",B22
"Ports of Entry: William S. Burroughs and the Arts.  A. Sobieszek, Robert A. Ports of Entry: William S. Burroughs and the Arts. With an Afterword by Burroughs. Los Angeles: Los Angeles County Museum of Art, 1996; distributed by Thames and Hudson. Softbound (no hardbound issued).  [catalogue] published in conjunction with the exhibition organized by the Los Angeles County T.p. verso. B. [Promotional Poster]  Poster advertising exhibition at LACMA, 18 July6 October 1996.  C. [Promotional Postcard] 6 x 4¼ in. cardstock.  Postcard for exhibition at LACMA, 18 July6 October 1996.  Reproduction of Burroughs and Gysin collage Untitled [Rub Out the Word] on recto. D. The Third Mind, Untitled  [W.R. Hearst Jr.   E. The Third Mind, Untitled [William Vacates Rooms Los Angeles County Museum of Art, 1996. Folded card.",B23
"William Burroughs and George Condo: Collaborative Works, 19881996.  A. [With an Introduction by NYU Professor Ed Adler.] New York: Pat Hearn Gallery, [1997]. Softbound.   Catalogue of an exhibition at Hearn Gallery in New York, 6 December 199717 January 1998. B. [Promotional Postcard]   cardstock.  Postcard for exhibition at Hearn Gallery, 6 December [1997]  17 January [1998].  28  2 0 0 5",B24
"Dead Aim: The Unseen Art of William S. Burroughs. London: Riflemaker, 2005. Softbound.  Catalogue of an exhibition at Riflemaker Gallery in LoScrapbooks, Cut-Ups, Fold-Ins, Film & Documentary Evidence: SeptemberT.p.  BFEP verso.    2 0 0 8",B25
"Cut-Outs and Cut-Ups: Hans Christian Andersen and William Seward Burroughs. Edited by Hendel Teicher. Dublin: Irish Museum of Modern Art, 2008. Softbound (no hardbound issued).   9 April-Colophon.  William S. Burroughs Paintings and Guns [sic; i.e., Painting & Guns William S. Burroughs above]",B26
"Life-File: The Private File-Folders of William S. Burroughs. London: Riflemaker, [2008].  Postcard [7¼ x4½ in.]  Postcard for one-man exhibition at Riflemaker Gallery in London, 16 December 200810 January 2009.  2 0 1 2",B27
"All Out of Time and Into Space. London: October Gallery, 2012.   S. Burroughs: All Out of Time and Inside back cover .  Transatlantic Review, No. 11 (Winter 1962).  [See Section C below].",B28
"Cut-Ups, Cut-Ins, Cut-Outs: The Art of William S. Burroughs. Edited by Colin Fallows and Synne Genzmer. English and German. [Nürnberg]: Verlag für Moderne Kunst, 2012. Hardbound, issued without dustjacket.   -Ups, Cut-Ins, Cut-[held at the Kunsthalle Wien] 15 June  2 0 1 4",B29
"Taking Shots: The Photography of William S. Burroughs. [Curated by] Patricia Allmer and John Sears. Munich: Prestel, 2014. Hardbound, issued without dustjacket.   30 March 2014.",B30
"William S. Burroughs: Creative Observer, January 17March 2, 2014. Lawrence, Kansas: Lawrence Arts Center; William Burroughs Communications, 2014. Softbound.  Book accompanying an exhibition at the Lawrence Arts Center.  Painting & Guns (Hanuman, 1992), and        29  C.  CONTRIBUTIONS TO PERIODICALS   1 9 3 8",B31
